datetime_utc,storage_slots_used,max_storage_slots
2023-12-29 02:29:59, 6, 25000
2023-12-29 02:46:47, 6, 25000
2023-12-29 12:43:12, 6, 25000
2023-12-30 00:54:15, 22, 25000
2023-12-30 12:42:25, 229, 25000
2023-12-31 00:54:35, 354, 25000
2023-12-31 12:42:45, 445, 25000
2024-01-01 00:54:38, 476, 25000
2024-01-01 12:43:38, 508, 25000
2024-01-02 00:54:16, 540, 25000
2024-01-02 12:43:48, 795, 25000
2024-01-03 00:54:21, 1357, 25000
2024-01-03 12:44:09, 2112, 25000
2024-01-04 00:54:22, 2345, 25000
2024-01-04 12:43:51, 2526, 25000
2024-01-05 00:54:23, 2867, 25000
2024-01-05 12:43:54, 3257, 25000
2024-01-06 00:54:19, 3395, 25000
2024-01-06 12:43:29, 3498, 25000
2024-01-07 00:54:40, 3648, 25000
2024-01-07 12:43:21, 3738, 25000
2024-01-08 00:54:26, 3798, 25000
2024-01-08 12:44:42, 3918, 25000
2024-01-09 00:54:31, 4055, 25000
2024-01-10 00:54:26, 4270, 25000
2024-01-10 12:44:44, 4422, 25000
2024-01-11 00:54:34, 4661, 25000
2024-01-11 12:44:50, 4918, 25000
2024-01-12 00:54:32, 5054, 25000
2024-01-12 12:44:15, 5195, 25000
2024-01-13 00:54:22, 5263, 25000
2024-01-13 12:43:11, 5317, 25000
2024-01-14 00:54:45, 5365, 25000
2024-01-14 12:42:56, 5439, 25000
2024-01-15 00:54:35, 5511, 25000
2024-01-15 12:45:03, 5567, 25000
2024-01-16 00:54:24, 5603, 25000
2024-01-16 12:44:56, 5714, 25000
2024-01-17 00:54:31, 5769, 25000
2024-01-17 12:44:54, 5812, 25000
2024-01-18 00:54:33, 5848, 25000
2024-01-18 12:44:41, 5873, 25000
2024-01-19 00:54:29, 5896, 25000
2024-01-19 12:44:34, 5943, 25000
2024-01-20 00:54:24, 5982, 25000
2024-01-20 12:43:19, 6052, 25000
2024-01-21 00:54:43, 6072, 25000
2024-01-21 12:43:13, 6102, 25000
2024-01-22 00:54:37, 6193, 25000
2024-01-22 12:45:36, 6441, 25000
2024-01-23 00:54:30, 6501, 25000
2024-01-23 12:45:14, 6525, 25000
2024-01-24 00:54:33, 6537, 25000
2024-01-24 12:45:13, 6572, 25000
2024-01-25 00:54:31, 6597, 25000
2024-01-25 12:45:05, 6604, 25000
2024-01-26 00:54:11, 6610, 25000
2024-01-26 12:42:32, 6666, 25000
2024-01-27 00:54:02, 8779, 25000
2024-01-28 00:54:23, 10953, 25000
2024-01-29 00:54:09, 11909, 25000
2024-01-29 12:43:06, 12338, 25000
2024-01-30 00:55:42, 12698, 25000
2024-01-30 12:42:46, 12867, 25000
2024-01-30 22:39:46, 13002, 25000
2024-01-31 00:57:19, 13017, 25000
2024-01-31 02:39:43, 13018, 25000
