datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:40, 10969, 20000
2023-07-04 01:48:30, 10972, 20000
2023-07-04 12:48:18, 11166, 20000
2023-07-05 00:55:13, 11328, 20000
2023-07-05 12:49:45, 11468, 20000
2023-07-07 00:55:38, 11670, 20000
2023-07-07 05:21:31, 11781, 25000
2023-07-07 05:25:32, 11781, 25000
2023-07-07 12:47:30, 12006, 25000
2023-07-08 00:55:14, 12255, 25000
2023-07-08 12:45:43, 12471, 25000
2023-07-09 00:55:29, 12634, 25000
2023-07-09 12:45:44, 12839, 25000
2023-07-10 00:56:00, 13173, 25000
2023-07-10 12:48:03, 13604, 25000
2023-07-11 00:55:26, 13783, 25000
2023-07-11 12:48:08, 13942, 25000
2023-07-12 00:55:14, 14029, 25000
2023-07-12 05:07:17, 14060, 25000
2023-07-12 05:57:21, 14062, 25000
2023-07-12 06:09:20, 14064, 25000
2023-07-12 12:48:35, 14209, 25000
2023-07-13 00:55:33, 14286, 25000
2023-07-13 12:48:37, 14518, 25000
2023-07-14 00:56:15, 14672, 25000
2023-07-14 12:47:34, 14826, 25000
2023-07-18 00:56:41, 15612, 25000
2023-07-18 12:46:20, 15736, 25000
2023-07-19 00:59:13, 15911, 25000
2023-07-19 12:45:07, 16012, 25000
2023-07-20 00:55:51, 16086, 25000
2023-07-20 12:45:27, 16130, 25000
2023-07-21 00:55:10, 16220, 25000
2023-07-21 12:44:29, 16283, 25000
2023-07-22 00:55:26, 16320, 25000
2023-07-22 12:42:57, 16401, 25000
2023-07-23 00:55:08, 16452, 25000
2023-07-23 12:42:51, 16500, 25000
2023-07-24 00:55:40, 16578, 25000
2023-07-24 12:45:25, 16651, 25000
2023-07-25 00:55:16, 16687, 25000
2023-07-25 12:46:33, 16785, 25000
2023-07-26 00:55:12, 16820, 25000
2023-07-26 12:44:52, 16872, 25000
2023-07-27 00:54:26, 16883, 25000
2023-07-27 12:44:54, 16911, 25000
2023-07-28 00:53:51, 16921, 25000
2023-07-28 06:00:28, 17269, 25000
2023-07-28 12:44:39, 18134, 25000
2023-07-29 00:55:35, 18705, 25000
2023-07-29 12:42:13, 19096, 25000
2023-07-30 00:55:54, 19294, 25000
2023-07-30 12:42:47, 20612, 25000
2023-07-31 00:44:37, 21727, 25000
2023-07-31 02:02:10, 21751, 25000
2023-07-31 04:59:47, 21764, 25000
2023-07-31 12:45:56, 22270, 25000
2023-08-01 00:54:53, 22565, 25000
2023-08-01 12:44:56, 22892, 25000
2023-08-02 00:54:27, 23100, 25000
2023-08-02 12:44:57, 23295, 25000
2023-08-03 00:51:05, 23403, 25000
2023-08-03 12:44:51, 23555, 25000
2023-08-04 00:51:12, 23586, 25000
2023-08-04 12:43:55, 23655, 25000
2023-08-05 00:54:29, 23740, 25000
2023-08-05 12:42:19, 23862, 25000
2023-08-06 00:49:32, 23923, 25000
2023-08-06 12:42:09, 23997, 25000
2023-08-07 00:51:58, 24009, 25000
2023-08-07 12:44:27, 24075, 25000
2023-08-08 00:50:37, 24111, 25000
2023-08-08 12:44:07, 24161, 25000
2023-08-09 00:50:57, 24189, 25000
2023-08-09 12:45:57, 24254, 25000
2023-08-10 00:51:42, 24270, 25000
2023-08-10 12:45:52, 24278, 25000
2023-08-11 00:54:13, 24295, 25000
2023-08-11 12:43:02, 24309, 25000
2023-08-12 00:53:59, 24326, 25000
2023-08-12 12:41:30, 24340, 25000
2023-08-13 00:54:16, 24345, 25000
2023-08-13 12:41:27, 24360, 25000
2023-08-14 00:54:10, 24369, 25000
2023-08-14 12:43:37, 24386, 25000
2023-08-15 00:54:04, 24405, 25000
2023-08-15 12:43:09, 24423, 25000
2023-08-16 00:54:06, 24437, 25000
2023-08-16 12:43:30, 24444, 25000
2023-08-17 00:54:11, 24447, 25000
2023-08-17 12:43:06, 24528, 25000
