datetime_utc,current_users,max_users
2023-07-04 01:36:35, 2537, 20000
2023-07-04 01:48:24, 2537, 20000
2023-07-04 12:48:12, 2547, 20000
2023-07-05 00:55:07, 2552, 20000
2023-07-05 12:49:39, 2567, 20000
2023-07-07 00:55:31, 2899, 20000
2023-07-07 05:21:25, 2900, 20000
2023-07-07 05:25:26, 2900, 20000
2023-07-07 12:47:23, 2941, 20000
2023-07-08 00:55:08, 2983, 20000
2023-07-08 12:45:37, 2990, 20000
2023-07-09 00:55:23, 3024, 20000
2023-07-09 12:45:37, 3058, 20000
2023-07-10 00:55:54, 3124, 20000
2023-07-10 12:47:56, 3169, 20000
2023-07-11 00:55:19, 3215, 20000
2023-07-11 12:48:02, 3242, 20000
2023-07-12 00:55:07, 3257, 20000
2023-07-12 05:07:11, 3259, 20000
2023-07-12 05:57:15, 3259, 20000
2023-07-12 06:09:13, 3259, 20000
2023-07-12 12:48:29, 3268, 20000
2023-07-13 00:55:26, 3269, 20000
2023-07-13 12:48:31, 3304, 20000
2023-07-14 00:56:07, 3323, 20000
2023-07-14 12:47:28, 3331, 20000
2023-07-18 00:56:35, 3472, 20000
2023-07-18 12:46:14, 3486, 20000
2023-07-19 00:59:06, 3493, 20000
2023-07-19 12:45:01, 3501, 20000
2023-07-20 00:55:45, 3513, 20000
2023-07-20 12:45:20, 3517, 20000
2023-07-21 00:55:03, 3531, 20000
2023-07-21 12:44:23, 3543, 20000
2023-07-22 00:55:20, 3554, 20000
2023-07-22 12:42:50, 3559, 20000
2023-07-23 00:55:00, 3563, 20000
2023-07-23 12:42:44, 3571, 20000
2023-07-24 00:55:34, 3579, 20000
2023-07-24 12:45:18, 3582, 20000
2023-07-25 00:55:10, 3597, 20000
2023-07-25 12:46:26, 3609, 20000
2023-07-26 00:55:06, 3623, 20000
2023-07-26 12:44:45, 3631, 20000
2023-07-27 00:54:19, 3641, 20000
2023-07-27 12:44:47, 3651, 20000
2023-07-28 00:53:44, 3660, 20000
2023-07-28 06:00:21, 3677, 20000
2023-07-28 12:44:33, 3745, 20000
2023-07-29 00:55:29, 3815, 20000
2023-07-29 12:42:06, 3843, 20000
2023-07-30 00:55:47, 3863, 20000
2023-07-30 12:42:40, 3895, 20000
