datetime_utc,storage_slots_used,max_storage_slots
2023-12-29 02:30:02, 3, 25000
2023-12-29 02:46:50, 3, 25000
2023-12-29 12:43:14, 13, 25000
2023-12-30 00:54:18, 30, 25000
2023-12-30 12:42:28, 106, 25000
2023-12-31 00:54:39, 173, 25000
2023-12-31 12:42:47, 233, 25000
2024-01-01 00:54:40, 272, 25000
2024-01-01 12:43:40, 280, 25000
2024-01-02 00:54:18, 309, 25000
2024-01-02 12:43:50, 325, 25000
2024-01-03 00:54:23, 383, 25000
2024-01-03 12:44:11, 501, 25000
2024-01-04 00:54:24, 581, 25000
2024-01-04 12:43:53, 643, 25000
2024-01-05 00:54:25, 812, 25000
2024-01-05 12:43:56, 859, 25000
2024-01-06 00:54:21, 905, 25000
2024-01-06 12:43:32, 937, 25000
2024-01-07 00:54:42, 1067, 25000
2024-01-07 12:43:23, 1174, 25000
2024-01-08 00:54:29, 1260, 25000
2024-01-08 12:44:44, 1278, 25000
2024-01-09 00:54:33, 1388, 25000
2024-01-10 00:54:28, 1493, 25000
2024-01-10 12:44:46, 1513, 25000
2024-01-11 00:54:36, 1553, 25000
2024-01-11 12:44:52, 1612, 25000
2024-01-12 00:54:34, 1673, 25000
2024-01-12 12:44:17, 1690, 25000
2024-01-13 00:54:25, 1720, 25000
2024-01-13 12:43:14, 1730, 25000
2024-01-14 00:54:47, 1767, 25000
2024-01-14 12:42:59, 1792, 25000
2024-01-15 00:54:37, 1841, 25000
2024-01-15 12:45:05, 1862, 25000
2024-01-16 00:54:26, 1910, 25000
2024-01-16 12:44:58, 1917, 25000
2024-01-17 00:54:33, 1926, 25000
2024-01-17 12:44:57, 1932, 25000
2024-01-18 00:54:35, 1990, 25000
2024-01-18 12:44:44, 2033, 25000
2024-01-19 00:54:32, 2043, 25000
2024-01-19 12:44:36, 2052, 25000
2024-01-20 00:54:26, 2111, 25000
2024-01-20 12:43:21, 2138, 25000
2024-01-21 00:54:46, 2153, 25000
2024-01-21 12:43:15, 2178, 25000
2024-01-22 00:54:39, 2228, 25000
2024-01-22 12:45:38, 2334, 25000
2024-01-23 00:54:32, 2341, 25000
2024-01-23 12:45:16, 2353, 25000
2024-01-24 00:54:35, 2368, 25000
2024-01-24 12:45:15, 2375, 25000
2024-01-25 00:54:33, 2396, 25000
2024-01-25 12:45:07, 2403, 25000
2024-01-26 00:54:13, 2420, 25000
2024-01-26 12:42:34, 2445, 25000
2024-01-27 00:54:04, 2618, 25000
2024-01-28 00:54:25, 3063, 25000
2024-01-29 00:54:11, 3317, 25000
2024-01-29 12:43:08, 3425, 25000
2024-01-30 00:55:44, 3576, 25000
2024-01-30 12:42:49, 3644, 25000
2024-01-30 22:39:49, 3697, 25000
2024-01-31 00:57:22, 3703, 25000
2024-01-31 02:39:46, 3704, 25000
2024-01-31 04:40:05, 3713, 25000
2024-01-31 06:40:06, 3719, 25000
2024-01-31 08:39:49, 3726, 25000
2024-01-31 10:40:00, 3727, 25000
2024-01-31 12:44:06, 3727, 25000
2024-01-31 14:39:54, 3743, 25000
2024-01-31 16:39:51, 3751, 25000
2024-01-31 18:39:55, 3758, 25000
2024-01-31 20:40:05, 3769, 25000
2024-01-31 22:39:59, 3776, 25000
2024-02-01 00:57:29, 3797, 25000
2024-02-01 02:39:48, 3802, 25000
2024-02-01 04:40:06, 3803, 25000
2024-02-01 06:39:51, 3816, 25000
2024-02-01 08:39:52, 3841, 25000
2024-02-01 10:39:49, 3856, 25000
2024-02-01 12:44:10, 3860, 25000
2024-02-01 14:40:10, 3864, 25000
2024-02-01 16:40:01, 3883, 25000
2024-02-01 18:40:09, 3889, 25000
2024-02-01 20:39:50, 3896, 25000
2024-02-01 22:39:46, 3904, 25000
2024-02-02 00:57:20, 3909, 25000
2024-02-02 02:40:02, 3913, 25000
2024-02-02 04:40:06, 3922, 25000
2024-02-02 06:40:02, 3922, 25000
2024-02-02 08:40:10, 3934, 25000
2024-02-02 10:40:14, 3940, 25000
2024-02-02 12:43:37, 3945, 25000
2024-02-02 14:40:06, 3949, 25000
2024-02-02 16:40:05, 3957, 25000
2024-02-02 18:39:52, 3967, 25000
2024-02-02 20:40:08, 3972, 25000
2024-02-02 22:40:07, 3976, 25000
2024-02-03 00:57:18, 3976, 25000
2024-02-03 02:39:53, 3980, 25000
2024-02-03 04:39:54, 3984, 25000
2024-02-03 06:40:00, 3984, 25000
2024-02-03 08:39:45, 3988, 25000
2024-02-03 10:39:50, 3997, 25000
2024-02-03 12:42:55, 3997, 25000
2024-02-03 14:39:50, 4003, 25000
2024-02-03 16:40:09, 4013, 25000
2024-02-03 18:40:06, 4013, 25000
2024-02-03 20:40:01, 4013, 25000
2024-02-03 22:40:09, 4013, 25000
2024-02-04 00:57:33, 4013, 25000
2024-02-04 02:39:58, 4017, 25000
2024-02-04 04:40:01, 4020, 25000
2024-02-04 06:39:58, 4020, 25000
2024-02-04 08:40:08, 4025, 25000
2024-02-04 10:39:49, 4029, 25000
2024-02-04 12:42:56, 4029, 25000
2024-02-04 14:40:03, 4039, 25000
2024-02-04 16:39:48, 4043, 25000
2024-02-04 18:39:49, 4045, 25000
2024-02-04 20:40:00, 4045, 25000
2024-02-04 22:39:53, 4045, 25000
2024-02-05 00:57:22, 4049, 25000
2024-02-05 02:40:43, 4049, 25000
2024-02-05 04:40:04, 4050, 25000
2024-02-05 06:39:57, 4054, 25000
2024-02-05 08:40:09, 4060, 25000
2024-02-05 10:39:51, 4064, 25000
2024-02-05 12:44:15, 4082, 25000
2024-02-05 14:40:11, 4084, 25000
2024-02-05 16:40:03, 4091, 25000
2024-02-05 18:40:11, 4102, 25000
2024-02-05 20:39:56, 4109, 25000
2024-02-05 22:40:06, 4110, 25000
2024-02-06 00:57:21, 4110, 25000
2024-02-06 02:39:53, 4116, 25000
2024-02-06 04:40:01, 4116, 25000
2024-02-06 06:39:59, 4120, 25000
2024-02-06 08:40:00, 4124, 25000
2024-02-06 10:39:49, 4128, 25000
2024-02-06 12:44:03, 4128, 25000
2024-02-06 14:39:51, 4130, 25000
2024-02-06 16:39:46, 4132, 25000
2024-02-06 18:39:49, 4132, 25000
2024-02-06 20:40:21, 4138, 25000
2024-02-06 22:40:03, 4140, 25000
2024-02-07 00:57:13, 4140, 25000
2024-02-07 02:39:48, 4140, 25000
2024-02-07 04:40:01, 4144, 25000
2024-02-07 06:40:02, 4145, 25000
2024-02-07 08:39:59, 4149, 25000
2024-02-07 10:39:55, 4152, 25000
2024-02-07 12:43:54, 4153, 25000
2024-02-07 14:39:50, 4153, 25000
2024-02-07 16:40:15, 4158, 25000
2024-02-07 18:40:04, 4158, 25000
2024-02-07 20:39:53, 4161, 25000
2024-02-07 22:40:01, 4161, 25000
2024-02-08 00:57:16, 4169, 25000
2024-02-08 02:39:55, 4169, 25000
2024-02-08 04:39:52, 4169, 25000
2024-02-08 06:39:49, 4169, 25000
2024-02-08 08:40:03, 4172, 25000
2024-02-08 10:39:52, 4176, 25000
2024-02-08 12:43:46, 4180, 25000
2024-02-08 14:40:03, 4181, 25000
2024-02-08 16:40:06, 4187, 25000
2024-02-08 18:40:22, 4195, 25000
2024-02-08 20:39:54, 4195, 25000
2024-02-08 22:39:55, 4195, 25000
2024-02-09 00:57:10, 4199, 25000
2024-02-09 02:39:59, 4203, 25000
2024-02-09 04:39:54, 4203, 25000
2024-02-09 06:40:10, 4203, 25000
2024-02-09 08:40:04, 4207, 25000
2024-02-09 10:39:58, 4209, 25000
2024-02-09 12:43:27, 4209, 25000
2024-02-09 14:39:51, 4220, 25000
2024-02-09 16:39:56, 4224, 25000
2024-02-09 18:40:13, 4224, 25000
2024-02-09 20:39:49, 4226, 25000
2024-02-09 22:40:10, 4228, 25000
2024-02-10 00:57:08, 4228, 25000
2024-02-10 02:39:49, 4228, 25000
2024-02-10 04:40:06, 4228, 25000
2024-02-10 06:40:01, 4228, 25000
2024-02-10 08:39:55, 4228, 25000
2024-02-10 10:40:02, 4228, 25000
2024-02-10 12:43:09, 4228, 25000
2024-02-10 14:39:54, 4228, 25000
2024-02-10 16:40:06, 4228, 25000
2024-02-10 18:39:46, 4228, 25000
2024-02-10 20:40:14, 4228, 25000
2024-02-10 22:39:57, 4228, 25000
2024-02-11 00:57:33, 4230, 25000
2024-02-11 02:39:53, 4230, 25000
2024-02-11 04:39:57, 4230, 25000
2024-02-11 06:40:10, 4230, 25000
2024-02-11 08:39:59, 4230, 25000
2024-02-11 10:40:01, 4239, 25000
2024-02-11 12:42:53, 4239, 25000
2024-02-11 14:40:05, 4249, 25000
2024-02-11 16:40:01, 4252, 25000
2024-02-11 18:40:03, 4255, 25000
2024-02-11 20:40:02, 4255, 25000
2024-02-11 22:39:59, 4259, 25000
2024-02-12 00:57:19, 4267, 25000
2024-02-12 02:40:03, 4267, 25000
2024-02-12 04:39:45, 4271, 25000
2024-02-12 06:40:01, 4275, 25000
2024-02-12 08:39:50, 4279, 25000
2024-02-12 10:39:45, 4279, 25000
2024-02-12 12:44:30, 4295, 25000
2024-02-12 14:39:51, 4295, 25000
2024-02-12 16:39:48, 4295, 25000
2024-02-12 18:39:47, 4299, 25000
2024-02-12 20:39:49, 4299, 25000
2024-02-12 22:39:52, 4299, 25000
2024-02-13 00:57:17, 4299, 25000
2024-02-13 02:40:03, 4299, 25000
2024-02-13 04:40:11, 4299, 25000
2024-02-13 06:40:00, 4299, 25000
2024-02-13 08:39:57, 4305, 25000
2024-02-13 10:39:49, 4306, 25000
2024-02-13 12:43:39, 4308, 25000
2024-02-13 14:40:08, 4308, 25000
2024-02-13 16:41:28, 4308, 25000
2024-02-13 18:39:47, 4314, 25000
2024-02-13 20:39:55, 4324, 25000
2024-02-13 22:39:51, 4351, 25000
2024-02-14 00:57:17, 4379, 25000
2024-02-14 04:39:44, 4419, 25000
2024-02-14 06:39:51, 4458, 25000
2024-02-14 08:39:48, 4489, 25000
2024-02-14 10:39:57, 4561, 25000
2024-02-14 12:44:04, 4635, 25000
2024-02-14 14:40:10, 4660, 25000
2024-02-14 16:40:02, 4668, 25000
2024-02-14 18:39:46, 4681, 25000
2024-02-14 20:39:46, 4685, 25000
