datetime_utc,storage_slots_used,max_storage_slots
2023-12-29 02:30:03, 13, 25000
2023-12-29 02:46:50, 13, 25000
2023-12-29 12:43:15, 23, 25000
2023-12-30 00:54:18, 48, 25000
2023-12-30 12:42:28, 124, 25000
2023-12-31 00:54:39, 206, 25000
2023-12-31 12:42:47, 271, 25000
2024-01-01 00:54:40, 308, 25000
2024-01-01 12:43:40, 313, 25000
2024-01-02 00:54:19, 333, 25000
2024-01-02 12:43:50, 351, 25000
2024-01-03 00:54:24, 417, 25000
2024-01-03 12:44:12, 497, 25000
2024-01-04 00:54:25, 569, 25000
2024-01-04 12:43:53, 633, 25000
2024-01-05 00:54:25, 795, 25000
2024-01-05 12:43:56, 843, 25000
2024-01-06 00:54:22, 897, 25000
2024-01-06 12:43:32, 937, 25000
2024-01-07 00:54:43, 1062, 25000
2024-01-07 12:43:24, 1156, 25000
2024-01-08 00:54:29, 1234, 25000
2024-01-08 12:44:44, 1259, 25000
2024-01-09 00:54:34, 1374, 25000
2024-01-10 00:54:29, 1475, 25000
2024-01-10 12:44:46, 1485, 25000
2024-01-11 00:54:37, 1514, 25000
2024-01-11 12:44:53, 1575, 25000
2024-01-12 00:54:35, 1636, 25000
2024-01-12 12:44:18, 1657, 25000
2024-01-13 00:54:25, 1684, 25000
2024-01-13 12:43:14, 1694, 25000
2024-01-14 00:54:47, 1730, 25000
2024-01-14 12:42:59, 1748, 25000
2024-01-15 00:54:38, 1794, 25000
2024-01-15 12:45:06, 1815, 25000
2024-01-16 00:54:27, 1861, 25000
2024-01-16 12:44:58, 1869, 25000
2024-01-17 00:54:34, 1877, 25000
2024-01-17 12:44:57, 1883, 25000
2024-01-18 00:54:35, 1937, 25000
2024-01-18 12:44:44, 1976, 25000
2024-01-19 00:54:32, 1989, 25000
2024-01-19 12:44:36, 1996, 25000
2024-01-20 00:54:27, 2055, 25000
2024-01-20 12:43:22, 2069, 25000
2024-01-21 00:54:46, 2091, 25000
2024-01-21 12:43:16, 2113, 25000
2024-01-22 00:54:40, 2164, 25000
2024-01-22 12:45:38, 2263, 25000
2024-01-23 00:54:32, 2275, 25000
2024-01-23 12:45:16, 2282, 25000
2024-01-24 00:54:36, 2290, 25000
2024-01-24 12:45:15, 2303, 25000
2024-01-25 00:54:34, 2316, 25000
2024-01-25 12:45:08, 2322, 25000
2024-01-26 00:54:13, 2342, 25000
2024-01-26 12:42:34, 2360, 25000
2024-01-27 00:54:05, 2522, 25000
2024-01-28 00:54:26, 2869, 25000
2024-01-29 00:54:12, 3174, 25000
2024-01-29 12:43:09, 3272, 25000
2024-01-30 00:55:45, 3424, 25000
2024-01-30 12:42:50, 3488, 25000
2024-01-30 22:39:49, 3542, 25000
2024-01-31 00:57:22, 3542, 25000
2024-01-31 02:39:46, 3542, 25000
2024-01-31 04:40:06, 3554, 25000
2024-01-31 06:40:06, 3560, 25000
2024-01-31 08:39:50, 3564, 25000
2024-01-31 10:40:00, 3568, 25000
2024-01-31 12:44:06, 3568, 25000
2024-01-31 14:39:55, 3583, 25000
2024-01-31 16:39:51, 3597, 25000
2024-01-31 18:39:56, 3607, 25000
2024-01-31 20:40:05, 3620, 25000
2024-01-31 22:40:00, 3628, 25000
2024-02-01 00:57:30, 3643, 25000
2024-02-01 02:39:48, 3651, 25000
2024-02-01 04:40:07, 3651, 25000
2024-02-01 06:39:51, 3660, 25000
2024-02-01 08:39:52, 3690, 25000
2024-02-01 10:39:50, 3705, 25000
2024-02-01 12:44:10, 3710, 25000
2024-02-01 14:40:11, 3713, 25000
2024-02-01 16:40:01, 3730, 25000
2024-02-01 18:40:09, 3739, 25000
2024-02-01 20:39:51, 3751, 25000
2024-02-01 22:39:47, 3764, 25000
2024-02-02 00:57:20, 3771, 25000
2024-02-02 02:40:02, 3774, 25000
2024-02-02 04:40:06, 3779, 25000
2024-02-02 06:40:03, 3779, 25000
2024-02-02 08:40:10, 3795, 25000
2024-02-02 10:40:15, 3795, 25000
2024-02-02 12:43:38, 3796, 25000
2024-02-02 14:40:07, 3800, 25000
2024-02-02 16:40:05, 3802, 25000
2024-02-02 18:39:53, 3808, 25000
2024-02-02 20:40:09, 3809, 25000
2024-02-02 22:40:08, 3813, 25000
2024-02-03 00:57:18, 3813, 25000
2024-02-03 02:39:53, 3822, 25000
2024-02-03 04:39:54, 3826, 25000
2024-02-03 06:40:00, 3826, 25000
2024-02-03 08:39:46, 3826, 25000
2024-02-03 10:39:51, 3834, 25000
2024-02-03 12:42:56, 3834, 25000
2024-02-03 14:39:51, 3842, 25000
2024-02-03 16:40:10, 3844, 25000
2024-02-03 18:40:06, 3844, 25000
2024-02-03 20:40:02, 3844, 25000
2024-02-03 22:40:10, 3845, 25000
2024-02-04 00:57:33, 3845, 25000
2024-02-04 02:39:59, 3845, 25000
2024-02-04 04:40:01, 3848, 25000
2024-02-04 06:39:59, 3848, 25000
2024-02-04 08:40:08, 3851, 25000
2024-02-04 10:39:49, 3855, 25000
2024-02-04 12:42:57, 3855, 25000
2024-02-04 14:40:04, 3861, 25000
2024-02-04 16:39:49, 3864, 25000
2024-02-04 18:39:50, 3867, 25000
2024-02-04 20:40:01, 3867, 25000
2024-02-04 22:39:54, 3867, 25000
2024-02-05 00:57:22, 3867, 25000
2024-02-05 02:40:44, 3867, 25000
2024-02-05 04:40:05, 3871, 25000
2024-02-05 06:39:57, 3873, 25000
2024-02-05 08:40:09, 3881, 25000
2024-02-05 10:39:51, 3883, 25000
2024-02-05 12:44:15, 3902, 25000
2024-02-05 14:40:11, 3911, 25000
2024-02-05 16:40:03, 3918, 25000
2024-02-05 18:40:11, 3924, 25000
2024-02-05 20:39:56, 3928, 25000
2024-02-05 22:40:06, 3928, 25000
2024-02-06 00:57:22, 3928, 25000
2024-02-06 02:39:54, 3933, 25000
2024-02-06 04:40:01, 3933, 25000
2024-02-06 06:39:59, 3935, 25000
2024-02-06 08:40:00, 3939, 25000
2024-02-06 10:39:49, 3943, 25000
2024-02-06 12:44:03, 3945, 25000
2024-02-06 14:39:52, 3947, 25000
2024-02-06 16:39:47, 3948, 25000
2024-02-06 18:39:49, 3949, 25000
2024-02-06 20:40:22, 3956, 25000
2024-02-06 22:40:04, 3957, 25000
2024-02-07 00:57:13, 3957, 25000
2024-02-07 02:39:48, 3957, 25000
2024-02-07 04:40:02, 3957, 25000
2024-02-07 06:40:03, 3957, 25000
2024-02-07 08:39:59, 3957, 25000
2024-02-07 10:39:56, 3960, 25000
2024-02-07 12:43:54, 3961, 25000
2024-02-07 14:39:51, 3962, 25000
2024-02-07 16:40:16, 3964, 25000
2024-02-07 18:40:04, 3964, 25000
2024-02-07 20:39:54, 3970, 25000
2024-02-07 22:40:02, 3970, 25000
2024-02-08 00:57:17, 3979, 25000
2024-02-08 02:39:56, 3983, 25000
2024-02-08 04:39:52, 3983, 25000
2024-02-08 06:39:49, 3983, 25000
2024-02-08 08:40:04, 3984, 25000
2024-02-08 10:39:52, 3992, 25000
2024-02-08 12:43:46, 3995, 25000
2024-02-08 14:40:04, 3996, 25000
2024-02-08 16:40:07, 4006, 25000
2024-02-08 18:40:22, 4014, 25000
2024-02-08 20:39:54, 4014, 25000
2024-02-08 22:39:56, 4014, 25000
2024-02-09 00:57:11, 4022, 25000
2024-02-09 02:40:00, 4026, 25000
2024-02-09 04:39:55, 4026, 25000
2024-02-09 06:40:11, 4026, 25000
2024-02-09 08:40:04, 4032, 25000
2024-02-09 10:39:58, 4032, 25000
2024-02-09 12:43:27, 4032, 25000
2024-02-09 14:39:51, 4043, 25000
2024-02-09 16:39:56, 4047, 25000
2024-02-09 18:40:14, 4047, 25000
2024-02-09 20:39:49, 4049, 25000
2024-02-09 22:40:10, 4051, 25000
2024-02-10 00:57:09, 4051, 25000
2024-02-10 02:39:49, 4051, 25000
2024-02-10 04:40:06, 4051, 25000
2024-02-10 06:40:02, 4053, 25000
2024-02-10 08:39:55, 4053, 25000
2024-02-10 10:40:02, 4053, 25000
2024-02-10 12:43:10, 4053, 25000
2024-02-10 14:39:55, 4053, 25000
2024-02-10 16:40:06, 4053, 25000
2024-02-10 18:39:46, 4053, 25000
2024-02-10 20:40:14, 4053, 25000
2024-02-10 22:39:58, 4053, 25000
2024-02-11 00:57:33, 4059, 25000
2024-02-11 02:39:54, 4059, 25000
2024-02-11 04:39:57, 4059, 25000
2024-02-11 06:40:11, 4059, 25000
2024-02-11 08:40:00, 4059, 25000
2024-02-11 10:40:02, 4069, 25000
2024-02-11 12:42:54, 4069, 25000
2024-02-11 14:40:06, 4083, 25000
2024-02-11 16:40:02, 4083, 25000
2024-02-11 18:40:03, 4086, 25000
2024-02-11 20:40:03, 4086, 25000
2024-02-11 22:40:00, 4090, 25000
2024-02-12 00:57:20, 4098, 25000
2024-02-12 02:40:03, 4098, 25000
2024-02-12 04:39:45, 4098, 25000
2024-02-12 06:40:02, 4102, 25000
2024-02-12 08:39:51, 4106, 25000
2024-02-12 10:39:46, 4110, 25000
2024-02-12 12:44:31, 4122, 25000
2024-02-12 14:39:52, 4122, 25000
2024-02-12 16:39:49, 4122, 25000
2024-02-12 18:39:47, 4126, 25000
2024-02-12 20:39:49, 4126, 25000
2024-02-12 22:39:52, 4126, 25000
2024-02-13 00:57:18, 4126, 25000
2024-02-13 02:40:04, 4126, 25000
2024-02-13 04:40:12, 4127, 25000
2024-02-13 06:40:01, 4127, 25000
2024-02-13 08:39:57, 4133, 25000
2024-02-13 10:39:50, 4134, 25000
2024-02-13 12:43:39, 4135, 25000
2024-02-13 14:40:09, 4135, 25000
2024-02-13 16:41:29, 4138, 25000
2024-02-13 18:39:47, 4144, 25000
2024-02-13 20:39:56, 4155, 25000
2024-02-13 22:39:52, 4182, 25000
2024-02-14 00:57:18, 4194, 25000
2024-02-14 04:39:44, 4208, 25000
2024-02-14 06:39:52, 4210, 25000
2024-02-14 08:39:49, 4220, 25000
2024-02-14 10:39:58, 4229, 25000
2024-02-14 12:44:04, 4230, 25000
2024-02-14 14:40:10, 4240, 25000
2024-02-14 16:40:02, 4244, 25000
2024-02-14 18:39:46, 4248, 25000
2024-02-14 20:39:46, 4250, 25000
2024-02-14 22:39:51, 4256, 25000
2024-02-15 00:57:20, 4256, 25000
2024-02-15 02:39:55, 4256, 25000
2024-02-15 04:39:56, 4256, 25000
2024-02-15 06:39:50, 4264, 25000
2024-02-15 08:39:49, 4268, 25000
2024-02-15 10:40:12, 4275, 25000
2024-02-15 12:43:49, 4277, 25000
2024-02-15 14:40:09, 4283, 25000
2024-02-15 16:39:49, 4283, 25000
2024-02-15 18:39:50, 4283, 25000
2024-02-15 20:40:00, 4291, 25000
2024-02-15 22:40:00, 4291, 25000
2024-02-16 00:57:18, 4291, 25000
2024-02-16 02:39:46, 4291, 25000
2024-02-16 04:39:48, 4291, 25000
2024-02-16 06:40:08, 4293, 25000
2024-02-16 08:39:50, 4295, 25000
2024-02-16 10:40:02, 4299, 25000
2024-02-16 12:43:57, 4299, 25000
2024-02-16 14:39:57, 4304, 25000
2024-02-16 16:40:26, 4305, 25000
2024-02-16 18:39:59, 4306, 25000
2024-02-16 20:39:48, 4308, 25000
2024-02-16 22:39:50, 4308, 25000
2024-02-17 00:57:16, 4311, 25000
2024-02-17 02:40:10, 4311, 25000
2024-02-17 04:39:55, 4311, 25000
2024-02-17 06:40:12, 4311, 25000
2024-02-17 08:39:57, 4311, 25000
2024-02-17 10:39:52, 4313, 25000
2024-02-17 12:42:51, 4313, 25000
2024-02-17 14:40:02, 4313, 25000
2024-02-17 16:39:54, 4313, 25000
2024-02-17 18:40:04, 4320, 25000
2024-02-17 20:39:59, 4322, 25000
2024-02-17 22:39:46, 4322, 25000
2024-02-18 00:57:35, 4323, 25000
2024-02-18 02:39:50, 4323, 25000
2024-02-18 04:39:56, 4323, 25000
2024-02-18 06:40:00, 4323, 25000
2024-02-18 08:40:24, 4329, 25000
2024-02-18 10:40:08, 4337, 25000
2024-02-18 12:43:08, 4337, 25000
2024-02-18 14:40:08, 4337, 25000
2024-02-18 16:40:03, 4337, 25000
2024-02-18 18:40:00, 4337, 25000
2024-02-18 20:39:57, 4337, 25000
2024-02-18 22:40:11, 4347, 25000
2024-02-19 00:57:23, 4351, 25000
2024-02-19 02:40:12, 4351, 25000
2024-02-19 04:40:05, 4351, 25000
2024-02-19 06:39:59, 4351, 25000
2024-02-19 08:40:15, 4351, 25000
2024-02-19 10:39:45, 4353, 25000
2024-02-19 12:44:34, 4353, 25000
2024-02-19 14:40:09, 4353, 25000
2024-02-19 16:41:06, 4353, 25000
2024-02-19 18:39:59, 4353, 25000
2024-02-19 20:40:00, 4361, 25000
2024-02-19 22:39:58, 4372, 25000
2024-02-20 00:57:13, 4373, 25000
2024-02-20 02:39:52, 4377, 25000
2024-02-20 04:40:04, 4377, 25000
2024-02-20 06:40:07, 4381, 25000
2024-02-20 08:40:01, 4381, 25000
2024-02-20 10:39:56, 4381, 25000
2024-02-20 12:43:30, 4381, 25000
2024-02-20 14:39:54, 4384, 25000
2024-02-20 16:40:31, 4384, 25000
2024-02-20 18:40:16, 4384, 25000
2024-02-20 20:40:11, 4388, 25000
2024-02-20 22:40:08, 4392, 25000
2024-02-21 00:57:17, 4392, 25000
2024-02-21 02:40:07, 4392, 25000
2024-02-21 04:40:08, 4396, 25000
2024-02-21 06:40:01, 4401, 25000
2024-02-21 08:40:02, 4405, 25000
