datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:37, 2354, 20000
2023-07-04 01:48:26, 2354, 20000
2023-07-04 12:48:14, 2363, 20000
2023-07-05 00:55:09, 2366, 20000
2023-07-05 12:49:41, 2386, 20000
2023-07-07 00:55:34, 2645, 20000
2023-07-07 05:21:27, 2651, 20000
2023-07-07 05:25:28, 2653, 20000
2023-07-07 12:47:26, 2658, 20000
2023-07-08 00:55:10, 2684, 20000
2023-07-08 12:45:39, 2688, 20000
2023-07-09 00:55:26, 2696, 20000
2023-07-09 12:45:40, 2715, 20000
2023-07-10 00:55:56, 2765, 20000
2023-07-10 12:47:59, 2793, 20000
2023-07-11 00:55:22, 2812, 20000
2023-07-11 12:48:04, 2817, 20000
2023-07-12 00:55:09, 2824, 20000
2023-07-12 05:07:13, 2825, 20000
2023-07-12 05:57:17, 2827, 20000
2023-07-12 06:09:16, 2827, 20000
2023-07-12 12:48:31, 2830, 20000
2023-07-13 00:55:28, 2834, 20000
2023-07-13 12:48:34, 2848, 20000
2023-07-14 00:56:10, 2875, 20000
2023-07-14 12:47:30, 2888, 20000
2023-07-18 00:56:37, 3050, 20000
2023-07-18 12:46:16, 3064, 20000
2023-07-19 00:59:08, 3066, 20000
2023-07-19 12:45:04, 3067, 20000
2023-07-20 00:55:48, 3069, 20000
2023-07-20 12:45:22, 3074, 20000
2023-07-21 00:55:05, 3085, 20000
2023-07-21 12:44:25, 3107, 20000
2023-07-22 00:55:22, 3109, 20000
2023-07-22 12:42:52, 3115, 20000
2023-07-23 00:55:03, 3128, 20000
2023-07-23 12:42:46, 3130, 20000
2023-07-24 00:55:36, 3136, 20000
2023-07-24 12:45:20, 3144, 20000
2023-07-25 00:55:12, 3146, 20000
2023-07-25 12:46:28, 3150, 20000
2023-07-26 00:55:08, 3155, 20000
2023-07-26 12:44:47, 3165, 20000
2023-07-27 00:54:22, 3171, 20000
2023-07-27 12:44:50, 3186, 20000
2023-07-28 00:53:47, 3192, 20000
2023-07-28 06:00:24, 3216, 20000
2023-07-28 12:44:35, 3266, 20000
2023-07-29 00:55:31, 3318, 20000
2023-07-29 12:42:09, 3335, 20000
2023-07-30 00:55:49, 3343, 20000
2023-07-30 12:42:43, 3382, 20000
2023-07-31 00:44:33, 3417, 20000
2023-07-31 02:02:06, 3418, 20000
2023-07-31 04:59:43, 3419, 20000
2023-07-31 12:45:51, 3444, 20000
2023-08-01 00:54:48, 3489, 20000
2023-08-01 12:44:51, 3502, 20000
2023-08-02 00:54:22, 3506, 20000
2023-08-02 12:44:52, 3512, 20000
2023-08-03 00:51:00, 3522, 20000
2023-08-03 12:44:46, 3532, 20000
2023-08-04 00:51:07, 3532, 20000
2023-08-04 12:43:49, 3534, 20000
2023-08-05 00:54:23, 3544, 20000
2023-08-05 12:42:14, 3544, 20000
2023-08-06 00:49:27, 3544, 20000
2023-08-06 12:42:05, 3545, 20000
2023-08-07 00:51:53, 3545, 20000
2023-08-07 12:44:22, 3549, 20000
2023-08-08 00:50:33, 3549, 20000
2023-08-08 12:44:02, 3561, 20000
2023-08-09 00:50:51, 3569, 20000
2023-08-09 12:45:52, 3574, 20000
2023-08-10 00:51:37, 3577, 20000
2023-08-10 12:45:46, 3579, 20000
2023-08-11 00:54:07, 3583, 20000
2023-08-11 12:42:57, 3585, 20000
2023-08-12 00:53:54, 3585, 20000
2023-08-12 12:41:25, 3590, 20000
2023-08-13 00:54:11, 3590, 20000
2023-08-13 12:41:22, 3590, 20000
2023-08-14 00:54:04, 3590, 20000
2023-08-14 12:43:31, 3593, 20000
2023-08-15 00:54:00, 3595, 20000
2023-08-15 12:43:04, 3595, 20000
2023-08-16 00:54:01, 3597, 20000
2023-08-16 12:43:25, 3599, 20000
2023-08-17 00:54:06, 3600, 20000
2023-08-17 12:43:01, 3602, 20000
2023-08-18 00:54:02, 3602, 20000
2023-08-18 12:43:01, 3605, 20000
2023-08-19 00:53:54, 3606, 20000
2023-08-19 12:41:08, 3607, 20000
2023-08-20 12:41:13, 3609, 20000
2023-08-21 00:54:07, 3612, 20000
2023-08-21 12:43:48, 3613, 20000
2023-08-22 00:54:11, 3613, 20000
2023-08-22 12:43:48, 3613, 20000
2023-08-23 00:54:12, 3615, 20000
2023-08-23 12:43:43, 3616, 20000
2023-08-24 00:54:04, 3616, 20000
2023-08-24 12:43:37, 3616, 20000
2023-08-25 00:54:07, 3618, 20000
2023-08-25 12:43:21, 3622, 20000
2023-08-26 00:54:00, 3622, 20000
2023-08-26 12:41:27, 3623, 20000
2023-08-27 00:54:19, 3623, 20000
2023-08-27 12:41:43, 3623, 20000
2023-08-28 00:54:05, 3625, 20000
2023-08-28 12:44:28, 3628, 20000
2023-08-29 00:54:06, 3630, 20000
2023-08-29 12:44:20, 3635, 20000
2023-08-30 00:54:03, 3639, 20000
2023-08-30 12:44:00, 3651, 20000
2023-08-31 00:54:10, 3651, 20000
2023-08-31 12:44:18, 3651, 20000
2023-09-01 00:54:25, 3671, 20000
2023-09-01 12:43:57, 3671, 20000
2023-09-02 00:53:53, 3672, 20000
2023-09-02 12:41:41, 3672, 20000
2023-09-03 00:54:25, 3672, 20000
2023-09-03 12:42:14, 3672, 20000
2023-09-04 00:54:09, 3672, 20000
2023-09-04 12:44:13, 3680, 20000
2023-09-05 00:54:11, 3681, 20000
2023-09-05 12:44:28, 3684, 20000
2023-09-06 00:54:16, 3686, 20000
2023-09-06 12:44:29, 3687, 20000
2023-09-07 00:54:07, 3687, 20000
2023-09-07 12:44:10, 3687, 20000
2023-09-08 00:54:02, 3688, 20000
2023-09-08 12:43:47, 3691, 20000
2023-09-09 00:53:59, 3692, 20000
2023-09-09 12:42:03, 3692, 20000
2023-09-10 00:54:20, 3692, 20000
2023-09-10 12:41:52, 3694, 20000
2023-09-11 00:54:11, 3694, 20000
2023-09-11 12:44:38, 3696, 20000
2023-09-12 00:54:01, 3697, 20000
2023-09-12 12:44:13, 3702, 20000
2023-09-13 00:54:08, 3703, 20000
2023-09-13 12:44:39, 3715, 20000
2023-09-14 00:54:05, 3716, 20000
2023-09-14 12:44:09, 3721, 20000
2023-09-15 00:54:08, 3778, 20000
2023-09-15 12:44:02, 3829, 20000
2023-09-16 00:54:03, 3845, 20000
2023-09-16 12:41:46, 3869, 20000
