datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:39, 3494, 20000
2023-07-04 01:48:28, 3494, 20000
2023-07-04 12:48:16, 3543, 20000
2023-07-05 00:55:11, 3633, 20000
2023-07-05 12:49:43, 3808, 20000
2023-07-07 00:55:37, 5005, 20000
2023-07-07 05:21:30, 5018, 20000
2023-07-07 05:25:31, 5021, 20000
2023-07-07 12:47:28, 5170, 20000
2023-07-08 00:55:13, 5399, 20000
2023-07-08 12:45:41, 5461, 20000
2023-07-09 00:55:28, 5617, 20000
2023-07-09 12:45:42, 5891, 20000
2023-07-10 00:55:58, 6323, 20000
2023-07-10 12:48:01, 6673, 20000
2023-07-11 00:55:25, 7052, 20000
2023-07-11 12:48:06, 7345, 20000
2023-07-12 00:55:12, 7724, 20000
2023-07-12 05:07:16, 7847, 20000
2023-07-12 05:57:19, 7874, 20000
2023-07-12 06:09:18, 7879, 20000
2023-07-12 12:48:34, 8070, 20000
2023-07-13 00:55:31, 8335, 20000
2023-07-13 12:48:36, 8561, 20000
2023-07-14 00:56:12, 8743, 20000
2023-07-14 12:47:32, 8765, 20000
2023-07-18 00:56:40, 8994, 20000
2023-07-18 12:46:19, 9021, 20000
2023-07-19 00:59:11, 9035, 20000
2023-07-19 12:45:06, 9057, 20000
2023-07-20 00:55:50, 9068, 20000
2023-07-20 12:45:25, 9080, 20000
2023-07-21 00:55:08, 9108, 20000
2023-07-21 12:44:27, 9128, 20000
2023-07-22 00:55:24, 9150, 20000
2023-07-22 12:42:55, 9169, 20000
2023-07-23 00:55:05, 9184, 20000
2023-07-23 12:42:48, 9196, 20000
2023-07-24 00:55:38, 9204, 20000
2023-07-24 12:45:23, 9237, 20000
2023-07-25 00:55:14, 9253, 20000
2023-07-25 12:46:30, 9278, 20000
2023-07-26 00:55:10, 9288, 20000
2023-07-26 12:44:50, 9310, 20000
2023-07-27 00:54:24, 9319, 20000
2023-07-27 12:44:52, 9325, 20000
2023-07-28 00:53:49, 9335, 20000
2023-07-28 06:00:26, 9341, 20000
2023-07-28 12:44:37, 9425, 20000
2023-07-29 00:55:33, 9505, 20000
2023-07-29 12:42:11, 9527, 20000
2023-07-30 00:55:52, 9559, 20000
