datetime_utc,current_users,max_users
2023-07-04 01:36:39, 3494, 20000
2023-07-04 01:48:28, 3494, 20000
2023-07-04 12:48:16, 3543, 20000
2023-07-05 00:55:11, 3633, 20000
2023-07-05 12:49:43, 3808, 20000
2023-07-07 00:55:37, 5005, 20000
2023-07-07 05:21:30, 5018, 20000
2023-07-07 05:25:31, 5021, 20000
2023-07-07 12:47:28, 5170, 20000
2023-07-08 00:55:13, 5399, 20000
2023-07-08 12:45:41, 5461, 20000
2023-07-09 00:55:28, 5617, 20000
2023-07-09 12:45:42, 5891, 20000
2023-07-10 00:55:58, 6323, 20000
2023-07-10 12:48:01, 6673, 20000
2023-07-11 00:55:25, 7052, 20000
2023-07-11 12:48:06, 7345, 20000
2023-07-12 00:55:12, 7724, 20000
