datetime_utc,storage_slots_used,max_storage_slots
2024-08-07 06:37:18, 21, 25000
2024-08-07 06:42:22, 21, 25000
2024-08-07 08:40:44, 21, 25000
2024-08-07 10:40:27, 21, 25000
2024-08-07 12:48:12, 21, 25000
2024-08-07 14:39:47, 21, 25000
2024-08-07 16:42:12, 21, 25000
2024-08-07 18:41:07, 21, 25000
2024-08-07 20:40:27, 21, 25000
2024-08-07 22:39:47, 21, 25000
2024-08-08 00:57:41, 21, 25000
2024-08-08 02:46:44, 21, 25000
2024-08-08 04:40:53, 21, 25000
2024-08-08 06:41:48, 21, 25000
2024-08-08 08:41:03, 21, 25000
2024-08-08 10:40:21, 21, 25000
2024-08-08 12:48:04, 21, 25000
2024-08-08 14:39:41, 21, 25000
2024-08-08 16:41:36, 21, 25000
2024-08-08 18:41:38, 21, 25000
2024-08-08 20:39:46, 21, 25000
2024-08-08 22:39:48, 21, 25000
2024-08-09 00:57:47, 21, 25000
2024-08-09 02:46:44, 21, 25000
2024-08-09 04:40:43, 21, 25000
2024-08-09 06:42:02, 22, 25000
2024-08-09 08:40:59, 22, 25000
2024-08-09 10:40:34, 22, 25000
2024-08-09 12:47:51, 22, 25000
2024-08-09 14:39:45, 22, 25000
2024-08-09 16:41:27, 22, 25000
2024-08-09 18:41:13, 22, 25000
2024-08-09 20:39:46, 22, 25000
2024-08-09 22:40:07, 22, 25000
2024-08-10 00:57:49, 22, 25000
2024-08-10 02:45:53, 22, 25000
2024-08-10 04:41:33, 22, 25000
2024-08-10 06:41:16, 22, 25000
2024-08-10 08:40:19, 22, 25000
2024-08-10 10:40:07, 22, 25000
2024-08-10 12:46:36, 22, 25000
2024-08-10 14:39:36, 22, 25000
2024-08-10 16:41:58, 22, 25000
2024-08-10 18:40:22, 22, 25000
2024-08-10 20:39:43, 22, 25000
2024-08-10 22:39:42, 22, 25000
2024-08-11 00:57:56, 22, 25000
2024-08-11 02:48:09, 22, 25000
2024-08-11 04:40:30, 22, 25000
2024-08-11 06:41:26, 22, 25000
2024-08-11 08:40:11, 22, 25000
2024-08-11 10:39:49, 22, 25000
2024-08-11 12:46:37, 22, 25000
2024-08-11 14:40:03, 22, 25000
2024-08-11 16:40:51, 22, 25000
2024-08-11 18:41:10, 22, 25000
2024-08-11 20:39:57, 22, 25000
2024-08-11 22:40:08, 22, 25000
2024-08-12 00:57:46, 22, 25000
2024-08-12 02:47:13, 22, 25000
2024-08-12 04:40:42, 22, 25000
2024-08-12 06:41:49, 22, 25000
2024-08-12 08:41:16, 22, 25000
2024-08-12 10:40:39, 22, 25000
2024-08-12 12:48:52, 22, 25000
